vehicle_id,final_location_id,current_odometer_km,km_driven_this_lease_year,total_lifetime_km,annual_limit_km,overage_km,overage_ratio,total_relocations,total_relocation_cost,total_overage_cost,routes_completed,km_since_last_service,service_due
1,73,329763,1227,329763,150000,0,0.82%,0,0.00,0.00,8,1227,False
2,73,402897,1344,402897,150000,0,0.90%,0,0.00,0.00,8,1344,False
3,73,418857,2608,418857,150000,0,1.74%,0,0.00,0.00,8,2608,False
4,73,404653,1944,404653,150000,0,1.30%,0,0.00,0.00,8,1944,False
5,73,364795,1259,364795,150000,0,0.84%,0,0.00,0.00,8,1259,False
6,73,373323,2405,373323,150000,0,1.60%,0,0.00,0.00,6,2405,False
7,73,443846,775,443846,150000,0,0.52%,0,0.00,0.00,6,775,False
8,73,431385,1379,431385,150000,0,0.92%,0,0.00,0.00,6,1379,False
9,73,417827,1244,417827,150000,0,0.83%,0,0.00,0.00,5,1244,False
10,73,370915,1131,370915,150000,0,0.75%,0,0.00,0.00,5,1131,False
11,73,334020,1206,334020,150000,0,0.80%,0,0.00,0.00,5,1206,False
12,73,375762,593,375762,150000,0,0.40%,0,0.00,0.00,5,593,False
13,73,360792,821,360792,150000,0,0.55%,0,0.00,0.00,5,821,False
14,73,355166,1413,355166,150000,0,0.94%,0,0.00,0.00,5,1413,False
15,73,337690,665,337690,150000,0,0.44%,0,0.00,0.00,5,665,False
16,73,415856,1220,415856,150000,0,0.81%,0,0.00,0.00,5,1220,False
17,73,372546,1357,372546,150000,0,0.90%,0,0.00,0.00,5,1357,False
18,73,308004,827,308004,150000,0,0.55%,0,0.00,0.00,5,827,False
19,73,294517,1216,294517,150000,0,0.81%,0,0.00,0.00,5,1216,False
20,73,371297,1108,371297,150000,0,0.74%,0,0.00,0.00,5,1108,False
21,73,368983,857,368983,150000,0,0.57%,0,0.00,0.00,5,857,False
22,73,326178,1175,326178,150000,0,0.78%,0,0.00,0.00,5,1175,False
23,73,426848,1029,426848,150000,0,0.69%,0,0.00,0.00,5,1029,False
24,73,296359,957,296359,150000,0,0.64%,0,0.00,0.00,5,957,False
25,73,362718,3124,362718,150000,0,2.08%,0,0.00,0.00,5,3124,False
26,73,308988,872,308988,150000,0,0.58%,0,0.00,0.00,5,872,False
27,73,365563,1103,365563,150000,0,0.74%,0,0.00,0.00,5,1103,False
28,73,328019,1180,328019,150000,0,0.79%,0,0.00,0.00,5,1180,False
29,73,317861,754,317861,150000,0,0.50%,0,0.00,0.00,5,754,False
30,73,272665,852,272665,150000,0,0.57%,0,0.00,0.00,5,852,False
31,73,331911,799,331911,150000,0,0.53%,0,0.00,0.00,5,799,False
32,73,320819,518,320819,150000,0,0.35%,0,0.00,0.00,5,518,False
33,73,280865,1235,280865,150000,0,0.82%,0,0.00,0.00,5,1235,False
34,73,286997,976,286997,150000,0,0.65%,0,0.00,0.00,5,976,False
35,73,312692,467,312692,150000,0,0.31%,0,0.00,0.00,5,467,False
36,73,290654,1054,290654,150000,0,0.70%,0,0.00,0.00,5,1054,False
37,73,315374,513,315374,150000,0,0.34%,0,0.00,0.00,5,513,False
38,73,264921,996,264921,150000,0,0.66%,0,0.00,0.00,5,996,False
39,73,353279,1058,353279,150000,0,0.71%,0,0.00,0.00,5,1058,False
40,233,343047,2350,343047,150000,0,1.57%,0,0.00,0.00,8,2350,False
41,233,283024,1902,283024,150000,0,1.27%,0,0.00,0.00,8,1902,False
42,233,295879,1771,295879,150000,0,1.18%,0,0.00,0.00,8,1771,False
43,233,382786,1575,382786,150000,0,1.05%,0,0.00,0.00,8,1575,False
44,233,374801,1633,374801,150000,0,1.09%,0,0.00,0.00,8,1633,False
45,233,319880,1619,319880,150000,0,1.08%,0,0.00,0.00,7,1619,False
46,233,277332,705,277332,150000,0,0.47%,0,0.00,0.00,5,705,False
47,233,276642,1325,276642,150000,0,0.88%,0,0.00,0.00,5,1325,False
48,233,277661,1034,277661,150000,0,0.69%,0,0.00,0.00,5,1034,False
49,233,365080,1625,365080,150000,0,1.08%,0,0.00,0.00,5,1625,False
50,233,351528,773,351528,150000,0,0.52%,0,0.00,0.00,5,773,False
51,233,288968,1116,288968,150000,0,0.74%,0,0.00,0.00,5,1116,False
52,233,275821,642,275821,150000,0,0.43%,0,0.00,0.00,5,642,False
53,233,363427,1239,363427,150000,0,0.83%,0,0.00,0.00,5,1239,False
54,233,350419,1064,350419,150000,0,0.71%,0,0.00,0.00,6,1064,False
55,233,335816,1222,335816,150000,0,0.81%,0,0.00,0.00,5,1222,False
56,233,348235,846,348235,150000,0,0.56%,0,0.00,0.00,5,846,False
57,233,278049,1070,278049,150000,0,0.71%,0,0.00,0.00,5,1070,False
58,233,285999,1823,285999,150000,0,1.22%,0,0.00,0.00,5,1823,False
59,233,235344,867,235344,150000,0,0.58%,0,0.00,0.00,5,867,False
60,233,352154,1170,352154,150000,0,0.78%,0,0.00,0.00,5,1170,False
61,233,260478,663,260478,150000,0,0.44%,0,0.00,0.00,5,663,False
62,233,332508,811,332508,150000,0,0.54%,0,0.00,0.00,5,811,False
63,233,397782,951,397782,150000,0,0.63%,0,0.00,0.00,5,951,False
64,233,363952,1095,363952,150000,0,0.73%,0,0.00,0.00,5,1095,False
65,233,368269,376,368269,150000,0,0.25%,0,0.00,0.00,5,376,False
66,233,352873,1082,352873,150000,0,0.72%,0,0.00,0.00,5,1082,False
67,233,406899,1113,406899,150000,0,0.74%,0,0.00,0.00,5,1113,False
68,233,379739,371,379739,150000,0,0.25%,0,0.00,0.00,5,371,False
69,233,373678,917,373678,150000,0,0.61%,0,0.00,0.00,5,917,False
70,233,433090,1216,433090,150000,0,0.81%,0,0.00,0.00,5,1216,False
71,233,446659,1328,446659,150000,0,0.89%,0,0.00,0.00,5,1328,False
72,233,398310,1471,398310,150000,0,0.98%,0,0.00,0.00,6,1471,False
73,233,383654,974,383654,150000,0,0.65%,0,0.00,0.00,5,974,False
74,233,431261,1096,431261,150000,0,0.73%,0,0.00,0.00,5,1096,False
75,233,437453,1671,437453,150000,0,1.11%,0,0.00,0.00,5,1671,False
76,233,346892,1432,346892,150000,0,0.95%,0,0.00,0.00,5,1432,False
77,233,335612,677,335612,150000,0,0.45%,0,0.00,0.00,5,677,False
78,233,279414,1089,279414,150000,0,0.73%,0,0.00,0.00,5,1089,False
79,240,354107,1847,354107,150000,0,1.23%,0,0.00,0.00,8,1847,False
80,240,258276,1209,258276,150000,0,0.81%,0,0.00,0.00,8,1209,False
81,240,291076,2007,291076,150000,0,1.34%,0,0.00,0.00,8,2007,False
82,240,232019,1766,232019,150000,0,1.18%,0,0.00,0.00,8,1766,False
83,240,287877,1265,287877,150000,0,0.84%,0,0.00,0.00,6,1265,False
84,240,247322,1145,247322,150000,0,0.76%,0,0.00,0.00,6,1145,False
85,240,341641,760,341641,150000,0,0.51%,0,0.00,0.00,6,760,False
86,240,296444,1945,296444,150000,0,1.30%,0,0.00,0.00,6,1945,False
87,276,278026,554,278026,150000,0,0.37%,0,0.00,0.00,3,554,False
88,240,352221,1106,352221,150000,0,0.74%,0,0.00,0.00,6,1106,False
89,240,294363,990,294363,150000,0,0.66%,0,0.00,0.00,5,990,False
90,240,294084,1277,294084,150000,0,0.85%,0,0.00,0.00,5,1277,False
91,240,310037,1181,310037,150000,0,0.79%,0,0.00,0.00,5,1181,False
92,240,217933,1124,217933,150000,0,0.75%,0,0.00,0.00,5,1124,False
93,240,262715,1127,262715,150000,0,0.75%,0,0.00,0.00,5,1127,False
94,240,269893,941,269893,150000,0,0.63%,0,0.00,0.00,5,941,False
95,240,237327,1011,237327,150000,0,0.67%,0,0.00,0.00,5,1011,False
96,240,156471,1178,156471,150000,0,0.79%,0,0.00,0.00,5,1178,False
97,240,222021,582,222021,150000,0,0.39%,0,0.00,0.00,5,582,False
98,240,168471,678,168471,150000,0,0.45%,0,0.00,0.00,5,678,False
99,240,269966,688,269966,150000,0,0.46%,0,0.00,0.00,5,688,False
100,240,218567,964,218567,150000,0,0.64%,0,0.00,0.00,5,964,False
101,240,212113,1292,212113,150000,0,0.86%,0,0.00,0.00,5,1292,False
102,240,199508,544,199508,150000,0,0.36%,0,0.00,0.00,5,544,False
103,240,178689,478,178689,150000,0,0.32%,0,0.00,0.00,5,478,False
104,240,176783,797,176783,150000,0,0.53%,0,0.00,0.00,5,797,False
105,240,231978,1146,231978,150000,0,0.76%,0,0.00,0.00,5,1146,False
106,240,211202,1156,211202,150000,0,0.77%,0,0.00,0.00,5,1156,False
107,240,208072,983,208072,150000,0,0.66%,0,0.00,0.00,5,983,False
108,240,265510,1663,265510,150000,0,1.11%,0,0.00,0.00,5,1663,False
109,240,271916,1073,271916,150000,0,0.72%,0,0.00,0.00,5,1073,False
110,240,192317,884,192317,150000,0,0.59%,0,0.00,0.00,5,884,False
111,240,219267,976,219267,150000,0,0.65%,0,0.00,0.00,5,976,False
112,240,168161,939,168161,150000,0,0.63%,0,0.00,0.00,5,939,False
113,240,193398,1471,193398,150000,0,0.98%,0,0.00,0.00,5,1471,False
114,69,221366,2607,221366,150000,0,1.74%,0,0.00,0.00,8,2607,False
115,69,179804,2483,179804,150000,0,1.66%,0,0.00,0.00,8,2483,False
116,69,143765,1854,143765,150000,0,1.24%,0,0.00,0.00,8,1854,False
117,69,186337,2218,186337,150000,0,1.48%,0,0.00,0.00,8,2218,False
118,69,166056,1316,166056,150000,0,0.88%,0,0.00,0.00,8,1316,False
119,69,209833,767,209833,150000,0,0.51%,0,0.00,0.00,5,767,False
120,69,248406,440,248406,150000,0,0.29%,0,0.00,0.00,5,440,False
121,69,203556,741,203556,150000,0,0.49%,0,0.00,0.00,5,741,False
122,69,286211,1874,286211,150000,0,1.25%,0,0.00,0.00,5,1874,False
123,69,199963,1007,199963,150000,0,0.67%,0,0.00,0.00,5,1007,False
124,69,23982,1354,23982,150000,0,0.90%,0,0.00,0.00,5,1354,False
125,69,14868,1046,14868,150000,0,0.70%,0,0.00,0.00,5,1046,False
126,69,22235,537,22235,150000,0,0.36%,0,0.00,0.00,5,537,False
127,69,31257,1288,31257,150000,0,0.86%,0,0.00,0.00,5,1288,False
128,69,20999,1114,20999,150000,0,0.74%,0,0.00,0.00,5,1114,False
129,69,22289,1076,22289,150000,0,0.72%,0,0.00,0.00,5,1076,False
130,69,30316,1923,30316,150000,0,1.28%,0,0.00,0.00,5,1923,False
131,69,26042,1505,26042,150000,0,1.00%,0,0.00,0.00,5,1505,False
132,69,24242,1094,24242,150000,0,0.73%,0,0.00,0.00,5,1094,False
133,69,23067,1063,23067,150000,0,0.71%,0,0.00,0.00,5,1063,False
134,69,16574,1130,16574,150000,0,0.75%,0,0.00,0.00,5,1130,False
135,69,22038,488,22038,150000,0,0.33%,0,0.00,0.00,5,488,False
136,69,16491,1036,16491,150000,0,0.69%,0,0.00,0.00,5,1036,False
137,69,16932,365,16932,150000,0,0.24%,0,0.00,0.00,5,365,False
138,69,15278,945,15278,150000,0,0.63%,0,0.00,0.00,5,945,False
139,69,33126,561,33126,150000,0,0.37%,0,0.00,0.00,5,561,False
140,69,16307,417,16307,150000,0,0.28%,0,0.00,0.00,5,417,False
141,69,15324,1164,15324,150000,0,0.78%,0,0.00,0.00,5,1164,False
142,69,26750,1588,26750,150000,0,1.06%,0,0.00,0.00,5,1588,False
143,69,20290,131,20290,150000,0,0.09%,0,0.00,0.00,5,131,False
144,69,16581,2049,16581,150000,0,1.37%,0,0.00,0.00,5,2049,False
145,69,21066,719,21066,150000,0,0.48%,0,0.00,0.00,5,719,False
146,69,27015,1117,27015,150000,0,0.74%,0,0.00,0.00,5,1117,False
147,69,32401,316,32401,150000,0,0.21%,0,0.00,0.00,5,316,False
148,273,28059,364,28059,150000,0,0.24%,0,0.00,0.00,2,364,False
149,13,18633,429,18633,150000,0,0.29%,0,0.00,0.00,3,429,False
150,37,26341,388,26341,150000,0,0.26%,0,0.00,0.00,3,388,False
151,17,23773,406,23773,150000,0,0.27%,0,0.00,0.00,2,406,False
152,230,19422,651,19422,150000,0,0.43%,0,0.00,0.00,2,651,False
153,182,20976,303,20976,150000,0,0.20%,0,0.00,0.00,2,303,False
154,139,27363,1399,27363,150000,0,0.93%,0,0.00,0.00,3,1399,False
155,102,9844,555,9844,150000,0,0.37%,0,0.00,0.00,2,555,False
156,140,6667,432,6667,150000,0,0.29%,0,0.00,0.00,1,432,False
157,150,14663,673,14663,150000,0,0.45%,0,0.00,0.00,2,673,False
158,267,11593,195,11593,150000,0,0.13%,0,0.00,0.00,1,195,False
159,43,11679,153,11679,150000,0,0.10%,0,0.00,0.00,2,153,False
160,64,1343,230,1343,150000,0,0.15%,0,0.00,0.00,2,230,False
161,117,13265,136,13265,150000,0,0.09%,0,0.00,0.00,2,136,False
162,173,2075,415,2075,150000,0,0.28%,0,0.00,0.00,2,415,False
163,184,11368,174,11368,150000,0,0.12%,0,0.00,0.00,2,174,False
164,71,8220,252,8220,150000,0,0.17%,0,0.00,0.00,1,252,False
165,18,11602,364,11602,150000,0,0.24%,0,0.00,0.00,2,364,False
166,265,12593,397,12593,150000,0,0.26%,0,0.00,0.00,2,397,False
167,28,11504,183,11504,150000,0,0.12%,0,0.00,0.00,2,183,False
168,66,7001,201,7001,150000,0,0.13%,0,0.00,0.00,2,201,False
169,186,20583,250,20583,150000,0,0.17%,0,0.00,0.00,2,250,False
170,2,20441,194,20441,150000,0,0.13%,0,0.00,0.00,1,194,False
171,131,6743,326,6743,150000,0,0.22%,0,0.00,0.00,2,326,False
172,104,21401,401,21401,150000,0,0.27%,0,0.00,0.00,2,401,False
173,217,338348,213,338348,150000,0,0.14%,0,0.00,0.00,2,213,False
174,160,36391,454,36391,150000,0,0.30%,0,0.00,0.00,2,454,False
175,161,24651,245,24651,150000,0,0.16%,0,0.00,0.00,2,245,False
176,299,262841,268,262841,150000,0,0.18%,0,0.00,0.00,2,268,False
177,22,18076,72,18076,150000,0,0.05%,0,0.00,0.00,1,72,False
178,78,15278,751,15278,150000,0,0.50%,0,0.00,0.00,2,751,False
179,216,295837,252,295837,150000,0,0.17%,0,0.00,0.00,1,252,False
180,256,23253,518,23253,150000,0,0.35%,0,0.00,0.00,1,518,False
